2019-03-22 11:50:31|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:50:31|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:31|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:31|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:31|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:31|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:50:31|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:31|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:31|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:31|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:31|statf.go:101|DEBUG|stat report
2019-03-22 11:50:31|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:50:31|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:50:41|adapter.go:83|DEBUG|send req:10
2019-03-22 11:50:41|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:50:41|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:50:41|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:41|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:41|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:41|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:41|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:50:41|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:41|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:41|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:41|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:41|statf.go:101|DEBUG|stat report
2019-03-22 11:50:41|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:50:41|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:50:51|adapter.go:83|DEBUG|send req:11
2019-03-22 11:50:51|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:50:51|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:50:51|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:51|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:51|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:51|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:51|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:50:51|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:51|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:51|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:51|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:51|statf.go:101|DEBUG|stat report
2019-03-22 11:50:51|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
